T,n
1.48126,1.92317e+18
1.47929,1.95157e+18
1.47732,1.98031e+18
1.47536,2.0094e+18
1.47341,2.03885e+18
1.47145,2.06865e+18
1.46951,2.09881e+18
1.46757,2.12933e+18
1.46563,2.16021e+18
1.4637,2.19147e+18
1.46177,2.22309e+18
1.45985,2.25509e+18
1.45794,2.28747e+18
1.45603,2.32024e+18
1.45412,2.35338e+18
1.45222,2.38692e+18
1.45033,2.42085e+18
1.44844,2.45518e+18
1.44655,2.4899e+18
1.44467,2.52503e+18
1.44279,2.56057e+18
1.44092,2.59651e+18
1.43906,2.63288e+18
1.43719,2.66965e+18
1.43534,2.70685e+18
1.43349,2.74448e+18
1.43164,2.78253e+18
1.4298,2.82101e+18
1.42796,2.85993e+18
1.42613,2.89929e+18
1.4243,2.9391e+18
1.42248,2.97935e+18
1.42066,3.02005e+18
1.41884,3.06121e+18
1.41703,3.10283e+18
1.41523,3.14491e+18
1.41343,3.18745e+18
1.41163,3.23047e+18
1.40984,3.27396e+18
1.40805,3.31793e+18
1.40627,3.36238e+18
1.40449,3.40732e+18
1.40272,3.45274e+18
1.40095,3.49867e+18
1.39919,3.54509e+18
1.39743,3.59201e+18
1.39567,3.63944e+18
1.39392,3.68738e+18
1.39218,3.73584e+18
1.39043,3.78481e+18
1.3887,3.83431e+18
1.38696,3.88433e+18
1.38523,3.93489e+18
1.38351,3.98598e+18
1.38179,4.03762e+18
1.38007,4.08979e+18
1.37836,4.14252e+18
1.37665,4.1958e+18
1.37495,4.24963e+18
1.37325,4.30403e+18
1.37155,4.359e+18
1.36986,4.41453e+18
1.36818,4.47064e+18
1.36649,4.52733e+18
1.36482,4.5846e+18
1.36314,4.64246e+18
1.36147,4.70092e+18
1.3598,4.75997e+18
1.35814,4.81962e+18
1.35648,4.87988e+18
1.35483,4.94075e+18
1.35318,5.00224e+18
1.35153,5.06434e+18
1.34989,5.12707e+18
1.34825,5.19044e+18
1.34662,5.25443e+18
1.34499,5.31907e+18
1.34336,5.38434e+18
1.34174,5.45027e+18
1.34012,5.51685e+18
1.33851,5.58409e+18
1.3369,5.65199e+18
1.33529,5.72056e+18
1.33369,5.7898e+18
1.33209,5.85972e+18
1.33049,5.93032e+18
1.3289,6.00161e+18
1.32732,6.07359e+18
1.32573,6.14627e+18
1.32415,6.21965e+18
1.32258,6.29373e+18
1.321,6.36853e+18
1.31944,6.44405e+18
1.31787,6.52029e+18
1.31631,6.59726e+18
1.31475,6.67495e+18
1.3132,6.75339e+18
1.31165,6.83257e+18
1.3101,6.9125e+18
1.30856,6.99318e+18
1.30702,7.07462e+18
1.30548,7.15682e+18
1.30395,7.23979e+18
1.30242,7.32354e+18
1.3009,7.40806e+18
1.29938,7.49337e+18
1.29786,7.57947e+18
1.29634,7.66636e+18
1.29483,7.75406e+18
1.29333,7.84256e+18
1.29182,7.93187e+18
1.29032,8.022e+18
1.28883,8.11296e+18
1.28733,8.20474e+18
1.28584,8.29735e+18
1.28436,8.3908e+18
1.28287,8.4851e+18
1.28139,8.58025e+18
1.27992,8.67625e+18
1.27845,8.77311e+18
1.27698,8.87084e+18
1.27551,8.96945e+18
1.27405,9.06893e+18
1.27259,9.16929e+18
1.27113,9.27055e+18
1.26968,9.37269e+18
1.26823,9.47574e+18
1.26678,9.5797e+18
1.26534,9.68457e+18
1.2639,9.79036e+18
1.26247,9.89707e+18
1.26103,1.00047e+19
1.2596,1.01133e+19
1.25818,1.02228e+19
1.25676,1.03333e+19
1.25534,1.04447e+19
1.25392,1.05571e+19
1.25251,1.06704e+19
1.25109,1.07847e+19
1.24969,1.09e+19
1.24828,1.10163e+19
1.24688,1.11336e+19
1.24549,1.12518e+19
1.24409,1.13711e+19
1.2427,1.14913e+19
1.24131,1.16126e+19
1.23993,1.17349e+19
1.23854,1.18583e+19
1.23716,1.19826e+19
1.23579,1.2108e+19
1.23442,1.22345e+19
1.23305,1.2362e+19
1.23168,1.24905e+19
1.23031,1.26201e+19
1.22895,1.27508e+19
1.2276,1.28826e+19
1.22624,1.30154e+19
1.22489,1.31493e+19
1.22354,1.32843e+19
1.2222,1.34205e+19
1.22085,1.35577e+19
1.21951,1.3696e+19
1.21818,1.38355e+19
1.21684,1.39761e+19
1.21551,1.41178e+19
1.21418,1.42607e+19
